CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,NUMBER OF PERSONS KILLED,NUMBER OF PERSONS INJURED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE_MAKE,DRIVER_LICENSE_STATUS,VEHICLE_TYPE,PERSON_INJURY,PERSON_AGE,PERSON_SEX,TOTAL_INCIDENTS
1/31/20,23:48,BROOKLYN,11203,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,27,M,2
1/31/23,18:00,BROOKLYN,11203,0,1,Alcohol Involvement,YAMAHA,Licensed,motorcycle,Unspecified,31,M,2
10/16/21,15:11,BROOKLYN,11224,0,2,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,44,M,2
10/1/21,9:16,QUEENS,11434,0,2,Unspecified,OTHER,Licensed,motorcycle,Injured,48,M,2
11/8/20,22:10,MANHATTAN,10026,0,4,Alcohol Involvement,OTHER,Licensed,motorcycle,Injured,23,M,2
7/15/22,19:06,BROOKLYN,11203,0,1,Traffic Control Disregarded,OTHER,Licensed,motorcycle,Injured,59,M,2
7/11/23,1:21,BRONX,10451,0,2,Traffic Control Disregarded,OTHER,Unlicensed,moped,Injured,27,M,2
5/1/22,21:43,BRONX,10454,0,0,Alcohol Involvement,OTHER,Licensed,motorcycle,Unspecified,32,M,2
5/12/23,16:58,BROOKLYN,11238,0,2,Turning Improperly,OTHER,Licensed,motorcycle,Injured,58,M,2
7/22/22,11:06,MANHATTAN,10001,0,0,Backing Unsafely,OTHER,Licensed,motorcycle,Unspecified,46,M,1
10/22/23,1:01,MANHATTAN,10002,0,2,Unspecified,OTHER,Permit,motorcycle,Injured,23,M,1
9/12/24,16:24,MANHATTAN,10003,0,3,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,22,M,1
10/6/20,9:00,MANHATTAN,10009,0,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,OTHER,Licensed,motorbike,Injured,42,M,1
6/18/21,11:40,MANHATTAN,10011,0,0,Oversized Vehicle,OTHER,Licensed,motorcycle,Unspecified,37,M,1
3/30/24,0:00,MANHATTAN,10016,0,1,Driver Inattention/Distraction,OTHER,Permit,moped,Injured,20,M,1
8/1/23,23:07,MANHATTAN,10016,0,1,Unspecified,YAMAHA,Licensed,motorbike,Injured,43,M,1
11/8/20,20:09,MANHATTAN,10019,0,1,Driver Inexperience,VESPA,Licensed,moped,Injured,38,F,1
10/6/21,17:39,MANHATTAN,10029,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorbike,Injured,30,M,1
10/6/21,17:39,MANHATTAN,10029,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorbike,Unspecified,28,M,1
8/27/24,11:57,MANHATTAN,10029,0,0,Driver Inattention/Distraction,YAMAHA,Licensed,motorcycle,Unspecified,62,M,1
7/6/22,19:18,MANHATTAN,10033,0,0,Driver Inattention/Distraction,YAMAHA,Unlicensed,motorbike,Unspecified,25,M,1
5/15/21,17:10,MANHATTAN,10034,0,1,Traffic Control Disregarded,OTHER,Unlicensed,moped,Injured,50,M,1
5/15/21,17:10,MANHATTAN,10034,0,1,Traffic Control Disregarded,OTHER,Unlicensed,moped,Unspecified,39,M,1
4/20/21,9:58,MANHATTAN,10035,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,31,M,1
6/25/22,17:29,MANHATTAN,10035,0,1,Unsafe Lane Changing,OTHER,Unlicensed,moped,Unspecified,35,F,1
6/4/22,21:32,MANHATTAN,10036,0,2,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,23,M,1
7/10/23,18:30,MANHATTAN,10036,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,45,M,1
6/8/22,7:21,MANHATTAN,10036,0,1,Unspecified,OTHER,Licensed,motorbike,Injured,47,M,1
9/3/24,11:55,STATEN ISLAND,10301,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,64,M,1
8/19/22,13:00,STATEN ISLAND,10301,0,1,Other Vehicular,OTHER,Licensed,motorcycle,Unspecified,53,F,1
9/3/24,12:45,MANHATTAN,10065,0,0,Passing Too Closely,OTHER,Licensed,motorcycle,Unspecified,61,M,1
3/21/21,17:26,QUEENS,11354,0,1,Following Too Closely,OTHER,Unlicensed,motorcycle,Unspecified,61,M,1
3/21/21,17:26,QUEENS,11354,0,1,Following Too Closely,OTHER,Unlicensed,motorcycle,Injured,54,M,1
9/21/23,15:30,QUEENS,11101,0,1,Driver Inattention/Distraction,OTHER,Licensed,moped,Injured,23,M,1
10/18/22,12:45,QUEENS,11101,0,1,Failure to Yield Right-of-Way,YAMAHA,Licensed,motorcycle,Unspecified,53,F,1
2/20/21,18:29,QUEENS,11101,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,26,M,1
6/3/23,13:43,QUEENS,11101,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,42,M,1
3/16/23,9:59,QUEENS,11101,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,70,F,1
7/2/20,0:18,QUEENS,11105,0,0,Failure to Yield Right-of-Way,YAMAHA,Licensed,motorcycle,Unspecified,42,M,1
8/8/22,12:50,QUEENS,11361,0,1,Driver Inattention/Distraction,YAMAHA,Licensed,motorcycle,Unspecified,70,M,1
7/12/20,23:09,QUEENS,11106,0,0,Turning Improperly,YAMAHA,Licensed,motorcycle,Unspecified,31,M,1
8/23/22,19:55,QUEENS,11106,0,0,Turning Improperly,OTHER,Licensed,motorcycle,Unspecified,22,M,1
9/18/21,19:20,QUEENS,11365,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,19,M,1
12/9/21,14:00,QUEENS,11367,0,1,Traffic Control Disregarded,OTHER,Licensed,moped,Unspecified,74,M,1
11/1/24,19:25,QUEENS,11368,0,1,View Obstructed/Limited,OTHER,Licensed,motorcycle,Injured,45,M,1
9/21/22,16:50,QUEENS,11368,0,1,Failure to Yield Right-of-Way,OTHER,Unlicensed,motorbike,Injured,25,M,1
10/8/23,18:25,QUEENS,11369,1,0,Unsafe Speed,OTHER,Unlicensed,motorcycle,Unspecified,65,F,1
7/8/24,17:50,QUEENS,11369,0,1,Traffic Control Disregarded,OTHER,Unlicensed,motorcycle,Unspecified,26,M,1
5/23/24,4:49,QUEENS,11372,0,0,Following Too Closely,YAMAHA,Permit,moped,Unspecified,33,M,1
2/4/24,9:10,QUEENS,11372,0,1,Backing Unsafely,OTHER,Licensed,moped,Unspecified,54,M,1
7/17/20,17:13,QUEENS,11373,0,1,Failure to Yield Right-of-Way,OTHER,Permit,motorcycle,Unspecified,32,M,1
1/1/23,17:55,QUEENS,11375,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,27,M,1
7/23/24,20:47,QUEENS,11375,0,2,Pavement Defective,OTHER,Licensed,moped,Injured,30,M,1
2/2/23,18:22,QUEENS,11377,0,1,Traffic Control Disregarded,OTHER,Licensed,motorcycle,Injured,26,M,1
3/14/22,18:15,QUEENS,11378,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Injured,28,M,1
3/14/22,18:15,QUEENS,11378,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Unspecified,23,M,1
8/6/22,21:07,QUEENS,11385,0,2,Passing or Lane Usage Improper,OTHER,Licensed,motorcycle,Unspecified,47,M,1
2/21/22,15:13,QUEENS,11385,1,3,Traffic Control Disregarded,YAMAHA,Unlicensed,motorcycle,Injured,30,M,1
8/23/21,19:30,QUEENS,11411,0,1,Unspecified,OTHER,Licensed,motorcycle,Unspecified,48,F,1
9/22/23,15:13,QUEENS,11412,0,1,Driver Inattention/Distraction,OTHER,Unlicensed,moped,Unspecified,52,M,1
8/17/24,11:24,QUEENS,11412,0,1,Other Vehicular,BMW,Licensed,motorcycle,Unspecified,21,M,1
6/26/24,17:00,QUEENS,11417,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,36,M,1
7/4/20,14:25,QUEENS,11418,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,33,M,1
7/11/24,17:55,QUEENS,11418,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,45,M,1
10/17/24,11:00,QUEENS,11422,0,1,Unspecified,OTHER,Licensed,motorcycle,Unspecified,19,M,1
5/3/20,13:45,QUEENS,11432,0,0,Backing Unsafely,YAMAHA,Licensed,motorcycle,Unspecified,67,M,1
2/10/24,15:20,QUEENS,11434,0,2,Turning Improperly,YAMAHA,Unlicensed,motorcycle,Injured,25,M,1
3/28/24,14:36,QUEENS,11434,0,1,Passing or Lane Usage Improper,OTHER,Licensed,motorcycle,Injured,47,M,1
7/17/22,13:09,QUEENS,11691,1,2,Unsafe Speed,OTHER,Licensed,motorcycle,Killed,38,M,1
8/27/23,19:06,QUEENS,11693,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,31,F,1
3/29/24,23:05,BROOKLYN,11201,0,0,Driver Inexperience,OTHER,Unlicensed,moped,Unspecified,42,M,1
9/15/22,13:00,BROOKLYN,11201,0,0,Passing or Lane Usage Improper,OTHER,Licensed,motorcycle,Unspecified,48,M,1
6/28/22,12:50,BROOKLYN,11201,0,1,Aggressive Driving/Road Rage,BMW,Licensed,motorcycle,Injured,56,M,1
9/28/21,18:23,BROOKLYN,11203,0,2,Unspecified,OTHER,Licensed,motorcycle,Injured,41,M,1
11/7/23,12:28,BROOKLYN,11205,0,2,Reaction to Uninvolved Vehicle,OTHER,Licensed,motorcycle,Injured,19,M,1
7/30/23,13:38,BROOKLYN,11205,0,1,Driver Inattention/Distraction,OTHER,Licensed,moped,Injured,22,F,1
5/18/23,15:00,BROOKLYN,11206,0,2,Driver Inattention/Distraction,OTHER,Licensed,moped,Injured,43,M,1
9/28/23,19:09,BROOKLYN,11206,0,1,Other Vehicular,OTHER,Licensed,motorcycle,Injured,34,M,1
11/2/23,18:27,BROOKLYN,11206,0,0,Passing Too Closely,OTHER,Unlicensed,moped,Unspecified,29,F,1
11/2/23,18:27,BROOKLYN,11206,0,0,Passing Too Closely,OTHER,Unlicensed,moped,Unspecified,16,M,1
6/11/23,13:33,BROOKLYN,11206,0,1,Following Too Closely,YAMAHA,Licensed,motorcycle,Unspecified,39,M,1
8/6/21,18:40,BROOKLYN,11206,0,1,Reaction to Uninvolved Vehicle,OTHER,Licensed,moped,Injured,43,M,1
11/21/21,4:35,BROOKLYN,11206,0,1,Passing Too Closely,VESPA,Licensed,moped,Injured,31,M,1
9/16/23,23:00,BROOKLYN,11207,0,1,Alcohol Involvement,OTHER,Licensed,motorcycle,Unspecified,33,F,1
6/20/20,0:02,BROOKLYN,11207,0,1,Unspecified,OTHER,Permit,moped,Injured,48,M,1
8/17/24,16:50,BROOKLYN,11207,0,1,Unspecified,OTHER,Licensed,motorcycle,Injured,36,M,1
1/29/23,19:40,BROOKLYN,11207,0,1,Unspecified,OTHER,Licensed,motorcycle,Unspecified,22,M,1
9/1/20,23:01,BROOKLYN,11210,0,1,Unspecified,OTHER,Licensed,moped,Injured,20,M,1
9/1/20,23:01,BROOKLYN,11210,0,1,Unspecified,OTHER,Licensed,moped,Unspecified,41,M,1
7/18/22,18:24,BROOKLYN,11210,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Injured,17,M,1
9/27/20,13:00,BROOKLYN,11211,0,0,Unsafe Speed,OTHER,Licensed,moped,Unspecified,32,F,1
10/20/20,18:25,BROOKLYN,11211,0,1,Obstruction/Debris,OTHER,Licensed,moped,Injured,31,M,1
7/4/24,2:16,BROOKLYN,11212,0,1,Unspecified,OTHER,Licensed,motorcycle,Injured,39,M,1
9/25/21,13:49,BROOKLYN,11212,0,1,Brakes Defective,OTHER,Licensed,motorcycle,Injured,33,M,1
1/5/21,17:10,BROOKLYN,11214,0,1,Aggressive Driving/Road Rage,OTHER,Unlicensed,motorcycle,Injured,26,M,1
9/16/22,10:22,BROOKLYN,11215,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Unspecified,64,F,1
7/4/24,17:10,BRONX,10451,0,1,Driver Inattention/Distraction,OTHER,Unlicensed,moped,Unspecified,52,F,1
7/4/24,17:10,BRONX,10451,0,1,Driver Inattention/Distraction,OTHER,Unlicensed,moped,Injured,28,M,1
5/15/20,20:05,BROOKLYN,11219,0,1,Passenger Distraction,YAMAHA,Licensed,motorcycle,Injured,36,M,1
3/10/23,17:40,BRONX,10452,0,1,Failure to Yield Right-of-Way,OTHER,Unlicensed,moped,Unspecified,54,M,1
3/10/23,17:40,BRONX,10452,0,1,Failure to Yield Right-of-Way,OTHER,Unlicensed,moped,Injured,16,M,1
8/4/23,1:00,BRONX,10452,0,1,Traffic Control Disregarded,OTHER,Permit,moped,Injured,29,M,1
10/11/22,14:30,BRONX,10454,0,2,Failure to Yield Right-of-Way,OTHER,Unlicensed,moped,Unspecified,57,F,1
7/4/21,17:46,BRONX,10454,0,1,Unspecified,OTHER,Licensed,motorcycle,Unspecified,42,F,1
10/4/23,16:54,BRONX,10454,0,1,Unspecified,OTHER,Permit,moped,Injured,19,M,1
3/18/24,14:20,BROOKLYN,11222,0,0,Following Too Closely,OTHER,Licensed,motorcycle,Unspecified,60,M,1
10/7/24,6:50,BROOKLYN,11222,0,0,Traffic Control Disregarded,OTHER,Licensed,motorcycle,Unspecified,24,M,1
11/1/24,6:00,BROOKLYN,11222,0,1,Failure to Yield Right-of-Way,OTHER,Unlicensed,moped,Unspecified,54,M,1
6/4/20,14:55,BRONX,10455,0,2,Turning Improperly,OTHER,Permit,motorcycle,Unspecified,45,M,1
6/10/23,18:19,BRONX,10455,0,1,Unspecified,OTHER,Unlicensed,moped,Unspecified,18,M,1
4/30/24,12:20,BROOKLYN,11224,0,1,Passing or Lane Usage Improper,OTHER,Unlicensed,moped,Injured,28,M,1
9/17/21,18:11,BRONX,10457,0,1,Driver Inattention/Distraction,UNKNOWN,Licensed,moped,Unspecified,27,M,1
2/8/23,9:55,BROOKLYN,11225,0,1,Turning Improperly,OTHER,Unlicensed,motorcycle,Unspecified,66,M,1
11/30/24,16:20,BRONX,10458,0,1,Turning Improperly,OTHER,Licensed,moped,Injured,33,M,1
10/24/20,20:55,BROOKLYN,11226,0,1,Driver Inexperience,OTHER,Licensed,motorcycle,Unspecified,32,F,1
4/29/21,13:22,BROOKLYN,11226,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,38,M,1
8/15/21,1:15,BROOKLYN,11226,0,1,Unspecified,YAMAHA,Licensed,moped,Injured,33,M,1
6/8/22,16:20,BRONX,10459,0,0,Passing or Lane Usage Improper,OTHER,Permit,motorcycle,Unspecified,70,M,1
1/13/24,11:28,BRONX,10460,0,1,Unspecified,OTHER,Unlicensed,moped,Injured,22,M,1
11/23/20,20:00,BRONX,10460,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Unspecified,24,F,1
9/1/24,3:56,BRONX,10461,0,2,Driver Inattention/Distraction,OTHER,Unlicensed,moped,Unspecified,68,M,1
6/25/22,13:25,BROOKLYN,11233,0,1,Unspecified,OTHER,Licensed,motorcycle,Injured,30,M,1
3/26/21,1:52,BROOKLYN,11234,0,0,Pavement Defective,OTHER,Licensed,motorbike,Unspecified,24,M,1
10/4/24,11:30,BROOKLYN,11234,0,1,Other Vehicular,YAMAHA,Licensed,motorcycle,Injured,28,M,1
9/7/20,15:20,BRONX,10467,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,30,F,1
4/16/24,21:22,BRONX,10467,1,0,Traffic Control Disregarded,YAMAHA,Unlicensed,motorcycle,Killed,34,M,1
5/28/23,16:05,BRONX,10467,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,48,M,1
6/14/22,20:40,BRONX,10468,0,1,Unsafe Lane Changing,OTHER,Licensed,moped,Unspecified,49,M,1
9/22/24,19:24,BROOKLYN,11236,0,1,Following Too Closely,OTHER,Licensed,motorcycle,Unspecified,78,M,1
5/30/23,6:08,BROOKLYN,11236,0,1,Reaction to Uninvolved Vehicle,YAMAHA,Licensed,motorcycle,Injured,56,M,1
7/13/24,19:30,BROOKLYN,11237,0,1,Driver Inattention/Distraction,OTHER,Unlicensed,motorcycle,Unspecified,43,F,1
5/6/21,14:00,BROOKLYN,11238,0,1,Driver Inattention/Distraction,VESPA,Licensed,moped,Injured,39,M,1
7/27/22,8:15,BRONX,10473,0,0,Driver Inattention/Distraction,YAMAHA,Licensed,motorcycle,Unspecified,24,M,1
10/1/20,17:13,BRONX,10475,0,1,Unspecified,OTHER,Licensed,motorcycle,Injured,45,M,1
10/5/24,10:52,MANHATTAN,10001,0,1,Driver Inattention/Distraction,OTHER,Licensed,moped,Injured,27,M,1
6/29/23,18:40,MANHATTAN,10002,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,33,M,1
5/5/20,17:58,MANHATTAN,10002,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,28,M,1
4/11/23,17:00,MANHATTAN,10006,0,0,Following Too Closely,YAMAHA,Licensed,motorcycle,Unspecified,29,M,1
3/6/24,15:06,MANHATTAN,10009,0,0,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,37,M,1
2/1/24,11:52,MANHATTAN,10010,0,1,Passing or Lane Usage Improper,OTHER,Unlicensed,moped,Injured,52,M,1
5/3/24,15:30,MANHATTAN,10011,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,28,M,1
5/3/24,15:30,MANHATTAN,10011,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,42,M,1
12/1/23,20:20,MANHATTAN,10017,0,0,Alcohol Involvement,OTHER,Unlicensed,moped,Unspecified,34,M,1
12/1/23,20:20,MANHATTAN,10017,0,0,Alcohol Involvement,OTHER,Unlicensed,moped,Unspecified,30,F,1
7/14/21,15:34,MANHATTAN,10019,0,2,Unspecified,YAMAHA,Licensed,motorcycle,Injured,52,M,1
11/18/23,5:09,MANHATTAN,10024,0,0,Driver Inattention/Distraction,BMW,Licensed,motorcycle,Unspecified,50,M,1
8/23/23,20:11,MANHATTAN,10028,0,1,Driver Inattention/Distraction,OTHER,Unlicensed,moped,Unspecified,41,F,1
7/9/23,0:55,MANHATTAN,10028,0,2,Unspecified,OTHER,Unlicensed,moped,Injured,20,M,1
6/12/23,17:00,MANHATTAN,10029,0,1,Unspecified,OTHER,Licensed,moped,Injured,39,F,1
5/31/24,20:20,MANHATTAN,10030,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,OTHER,Unlicensed,moped,Unspecified,40,F,1
9/28/21,16:42,MANHATTAN,10030,0,1,Other Vehicular,UNKNOWN,Permit,motorcycle,Injured,39,M,1
10/10/23,9:34,MANHATTAN,10032,0,1,Tire Failure/Inadequate,OTHER,Licensed,motorcycle,Injured,57,M,1
8/31/23,18:40,MANHATTAN,10033,0,1,Passing or Lane Usage Improper,YAMAHA,Licensed,moped,Injured,41,M,1
5/26/24,19:35,MANHATTAN,10033,0,1,Unsafe Speed,OTHER,Unlicensed,moped,Injured,31,M,1
7/18/24,9:20,MANHATTAN,10035,0,1,Traffic Control Disregarded,OTHER,Licensed,motorcycle,Unspecified,33,M,1
7/18/24,9:20,MANHATTAN,10035,0,1,Traffic Control Disregarded,OTHER,Licensed,motorcycle,Injured,23,M,1
8/18/22,15:18,MANHATTAN,10037,0,2,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Injured,28,M,1
5/9/24,7:43,MANHATTAN,10065,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorcycle,Unspecified,42,M,1
2/1/24,10:33,QUEENS,11103,0,1,Unsafe Lane Changing,OTHER,Licensed,motorcycle,Unspecified,58,M,1
2/1/24,10:33,QUEENS,11103,0,1,Unsafe Lane Changing,OTHER,Licensed,motorcycle,Injured,45,M,1
10/14/23,21:46,QUEENS,11103,0,1,Turning Improperly,YAMAHA,Unlicensed,motorcycle,Injured,34,M,1
12/5/23,0:21,QUEENS,11103,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorbike,Injured,46,M,1
3/21/22,21:45,QUEENS,11103,0,1,Traffic Control Disregarded,YAMAHA,Unlicensed,motorcycle,Unspecified,24,M,1
6/4/23,12:16,QUEENS,11104,0,1,Traffic Control Disregarded,OTHER,Licensed,motorcycle,Unspecified,45,M,1
7/19/20,4:45,QUEENS,11104,0,2,Driver Inattention/Distraction,OTHER,Unlicensed,moped,Unspecified,77,M,1
12/12/20,23:15,QUEENS,11368,0,1,Unsafe Speed,OTHER,Licensed,motorcycle,Injured,22,M,1
7/19/23,13:35,QUEENS,11368,0,1,Traffic Control Disregarded,UNKNOWN,Unlicensed,motorcycle,Unspecified,61,M,1
9/8/24,21:41,QUEENS,11369,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Injured,35,M,1
9/8/24,21:20,QUEENS,11370,0,1,Driver Inattention/Distraction,OTHER,Licensed,moped,Injured,26,M,1
5/22/24,10:35,QUEENS,11373,0,0,Backing Unsafely,OTHER,Unlicensed,moped,Unspecified,22,M,1
4/5/24,12:50,QUEENS,11377,0,1,Traffic Control Disregarded,YAMAHA,Licensed,moped,Injured,43,M,1
5/1/23,8:25,QUEENS,11378,0,1,Unspecified,OTHER,Licensed,moped,Injured,33,M,1
4/26/24,19:05,QUEENS,11379,0,1,Following Too Closely,OTHER,Licensed,moped,Injured,60,M,1
6/12/24,18:00,QUEENS,11385,0,1,Turning Improperly,OTHER,Licensed,motorcycle,Unspecified,58,M,1
8/17/23,19:24,QUEENS,11385,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorbike,Injured,56,M,1
11/6/20,0:00,QUEENS,11385,0,1,Driver Inattention/Distraction,OTHER,Licensed,motorcycle,Unspecified,23,M,1
8/9/20,14:37,QUEENS,11416,0,1,Failure to Yield Right-of-Way,OTHER,Licensed,motorbike,Injured,18,M,1
9/5/22,9:55,QUEENS,11420,0,1,View Obstructed/Limited,OTHER,Unlicensed,motorcycle,Unspecified,49,M,1
